profile,fault_rate,family,topology,method,run,seed,accuracy,precision,recall,f1,brier,ece
gpu,0.4,hypercube,Q10,UP-GDN,2,7710,1.0,1.0,1.0,1.0,0.043,0.1654
gpu,0.4,hypercube,Q10,Clustered-PMC,2,7710,0.7068,1.0,0.2678,0.3542,0.2932,0.0
gpu,0.4,hypercube,Q10,UP-GDN,3,8712,0.9992,0.9985,0.9995,0.999,0.0653,0.2103
gpu,0.4,hypercube,Q10,Clustered-PMC,3,8712,0.7412,1.0,0.3537,0.5094,0.2588,0.0
gpu,0.4,kary,Q4^5,UP-GDN,1,6714,0.9996,0.9995,0.9995,0.9995,0.0646,0.2236
gpu,0.4,kary,Q4^5,Clustered-PMC,1,6714,0.7088,0.9955,0.2732,0.413,0.2912,0.0
gpu,0.4,kary,Q4^5,UP-GDN,2,7716,0.9996,1.0,0.999,0.9995,0.058,0.1688
gpu,0.4,kary,Q4^5,Clustered-PMC,2,7716,0.7051,1.0,0.2634,0.3982,0.2949,0.0
gpu,0.4,kary,Q4^5,UP-GDN,3,8718,1.0,1.0,1.0,1.0,0.0556,0.1943
gpu,0.4,kary,Q4^5,Clustered-PMC,3,8718,0.7309,1.0,0.3278,0.4464,0.2691,0.0
gpu,0.4,augmented_kary,"AQ(5,4)",UP-GDN,1,6720,1.0,1.0,1.0,1.0,0.0578,0.2025
gpu,0.4,augmented_kary,"AQ(5,4)",Clustered-PMC,1,6720,0.6285,1.0,0.0722,0.1223,0.3715,0.0
gpu,0.4,augmented_kary,"AQ(5,4)",UP-GDN,2,7722,1.0,1.0,1.0,1.0,0.07,0.2225
gpu,0.4,augmented_kary,"AQ(5,4)",Clustered-PMC,2,7722,0.6867,1.0,0.2176,0.3295,0.3133,0.0
gpu,0.4,augmented_kary,"AQ(5,4)",UP-GDN,3,8724,1.0,1.0,1.0,1.0,0.0293,0.1276
gpu,0.4,augmented_kary,"AQ(5,4)",Clustered-PMC,3,8724,0.6215,1.0,0.0546,0.1012,0.3785,0.0
gpu,0.45,hypercube,Q10,UP-GDN,1,6776,0.999,0.9983,0.9996,0.9989,0.0728,0.2332
gpu,0.45,hypercube,Q10,Clustered-PMC,1,6776,0.6762,1.0,0.2807,0.4188,0.3238,0.0
gpu,0.45,hypercube,Q10,UP-GDN,2,7778,0.9994,0.9991,0.9996,0.9993,0.0484,0.1671
gpu,0.45,hypercube,Q10,Clustered-PMC,2,7778,0.6338,1.0,0.1866,0.3023,0.3662,0.0
gpu,0.45,hypercube,Q10,UP-GDN,3,8780,0.9998,0.9996,1.0,0.9998,0.0726,0.2266
gpu,0.45,hypercube,Q10,Clustered-PMC,3,8780,0.6266,0.9987,0.1709,0.2824,0.3734,0.0
gpu,0.45,kary,Q4^5,UP-GDN,1,6782,0.9988,0.9974,1.0,0.9987,0.0586,0.2117
gpu,0.45,kary,Q4^5,Clustered-PMC,1,6782,0.668,0.9992,0.2629,0.3867,0.332,0.0
gpu,0.45,kary,Q4^5,UP-GDN,2,7784,0.9996,0.9991,1.0,0.9996,0.0439,0.1731
gpu,0.45,kary,Q4^5,Clustered-PMC,2,7784,0.6521,1.0,0.2273,0.3299,0.3479,0.0
gpu,0.45,kary,Q4^5,UP-GDN,3,8786,1.0,1.0,1.0,1.0,0.0472,0.1763
gpu,0.45,kary,Q4^5,Clustered-PMC,3,8786,0.7242,1.0,0.3874,0.4915,0.2758,0.0
gpu,0.45,augmented_kary,"AQ(5,4)",UP-GDN,1,6788,1.0,1.0,1.0,1.0,0.0719,0.2354
gpu,0.45,augmented_kary,"AQ(5,4)",Clustered-PMC,1,6788,0.599,1.0,0.1093,0.1904,0.401,0.0
gpu,0.45,augmented_kary,"AQ(5,4)",UP-GDN,2,7790,1.0,1.0,1.0,1.0,0.0656,0.218
gpu,0.45,augmented_kary,"AQ(5,4)",Clustered-PMC,2,7790,0.601,1.0,0.1137,0.1863,0.399,0.0
gpu,0.45,augmented_kary,"AQ(5,4)",UP-GDN,3,8792,0.9998,0.9996,1.0,0.9998,0.0395,0.1811
gpu,0.45,augmented_kary,"AQ(5,4)",Clustered-PMC,3,8792,0.5725,1.0,0.0503,0.0951,0.4275,0.0
gpu,0.5,hypercube,Q10,UP-GDN,1,6844,0.9986,0.9981,0.9992,0.9986,0.0605,0.2052
gpu,0.5,hypercube,Q10,Clustered-PMC,1,6844,0.6629,0.9995,0.3262,0.4277,0.3371,0.0
gpu,0.5,hypercube,Q10,UP-GDN,2,7846,0.9973,0.9953,0.9992,0.9973,0.0752,0.2371
gpu,0.5,hypercube,Q10,Clustered-PMC,2,7846,0.6582,0.9952,0.3172,0.4396,0.3418,0.0
gpu,0.5,hypercube,Q10,UP-GDN,3,8848,0.9984,0.9969,1.0,0.9984,0.0674,0.2211
gpu,0.5,hypercube,Q10,Clustered-PMC,3,8848,0.6334,0.998,0.2672,0.3942,0.3666,0.0
gpu,0.5,kary,Q4^5,UP-GDN,1,6850,0.999,0.9981,1.0,0.999,0.0685,0.2278
gpu,0.5,kary,Q4^5,Clustered-PMC,1,6850,0.6654,1.0,0.3309,0.4769,0.3346,0.0
gpu,0.5,kary,Q4^5,UP-GDN,2,7852,0.9984,0.9973,0.9996,0.9984,0.0547,0.2074
gpu,0.5,kary,Q4^5,Clustered-PMC,2,7852,0.6221,1.0,0.2441,0.3616,0.3779,0.0
gpu,0.5,kary,Q4^5,UP-GDN,3,8854,0.9938,0.9919,0.9957,0.9938,0.0718,0.206
gpu,0.5,kary,Q4^5,Clustered-PMC,3,8854,0.591,1.0,0.182,0.29,0.409,0.0
gpu,0.5,augmented_kary,"AQ(5,4)",UP-GDN,1,6856,1.0,1.0,1.0,1.0,0.0821,0.253
gpu,0.5,augmented_kary,"AQ(5,4)",Clustered-PMC,1,6856,0.5223,1.0,0.0445,0.084,0.4777,0.0
gpu,0.5,augmented_kary,"AQ(5,4)",UP-GDN,2,7858,0.9996,0.9992,1.0,0.9996,0.0373,0.1696
gpu,0.5,augmented_kary,"AQ(5,4)",Clustered-PMC,2,7858,0.525,0.8,0.05,0.0939,0.475,0.0
gpu,0.5,augmented_kary,"AQ(5,4)",UP-GDN,3,8860,0.9996,1.0,0.9992,0.9996,0.0804,0.2383
gpu,0.5,augmented_kary,"AQ(5,4)",Clustered-PMC,3,8860,0.5557,1.0,0.1113,0.1876,0.4443,0.0
